1+0/1	1.9570310000000002
1+1/8	2.5664069999999994
1+1/4	2.574219
1+3/8	2.623698
2+0/1	2.884115
2+1/8	3.192708
2+1/4	3.496094
2+3/8	3.794271
2+15/32	4.067708
3+0/1	4.104167
3+1/8	4.445312
3+3/16	4.575521
3+1/4	4.723958
3+3/8	4.894531499999999
3+7/16	5.279948
3+15/32	5.354167
4+0/1	5.415365
4+1/8	5.682942499999999
4+3/16	5.907552
4+7/32	5.97526
4+1/4	6.014974
4+3/8	6.216797
4+15/32	6.61849
5+0/1	6.664062
5+1/8	6.994792
5+3/16	7.13151
5+1/4	7.272135
5+3/8	7.567708
5+15/32	7.845052
6+0/1	7.897135
6+1/8	8.2135415
6+7/32	8.473958
6+1/4	8.544271
6+3/8	8.839844
6+15/32	9.078125
7+0/1	9.123698
7+1/8	9.2838545
7+3/16	9.574219
7+1/4	9.721354
7+3/8	10.040365
8+0/1	10.352865
8+1/8	10.440755
8+1/4	10.682292
8+3/8	11.266927
9+0/1	11.59375
9+1/16	11.726562
9+1/8	11.872396
9+3/16	11.936849
9+1/4	12.064453499999999
9+5/16	12.261719
9+3/8	12.341145999999998
9+7/16	12.574219
10+0/1	12.6438805
10+1/8	13.046875
10+1/4	13.2128905
10+3/8	13.704427
10+15/32	14.035156
11+0/1	14.070312
11+1/8	14.2376305
11+3/16	14.554688
11+1/4	14.682292
11+3/8	14.985677
11+7/16	15.223958
11+15/32	15.295573
12+0/1	15.356771
12+1/8	15.704427
12+3/16	15.902344
12+7/32	15.96875
12+1/4	16.035156
12+3/8	16.328125
12+15/32	16.611979
13+0/1	16.653646
13+1/8	16.733072999999997
13+3/16	17.114583
13+1/4	17.261719
13+3/8	17.584635
13+15/32	17.893229
14+0/1	17.953125
14+1/8	18.295573
14+7/32	18.536458
14+1/4	18.563802
14+3/8	18.904948
14+15/32	19.148438
15+0/1	19.1725265
15+1/8	19.353516
15+3/16	19.651042
15+1/4	19.786458
15+3/8	19.967447999999997
16+0/1	20.433594
16+1/8	20.5996095
16+1/4	21.076823
16+3/8	21.388021
17+0/1	21.713542
17+1/16	21.835938
17+1/8	21.984375
17+3/16	22.0533855
17+1/4	22.265625
17+5/16	22.393229
17+3/8	22.466145500000003
17+7/16	22.673177
18+0/1	22.817708
18+1/8	23.1803385
18+1/4	23.344075250000003
18+3/8	23.826823
19+0/1	24.221354
19+1/8	24.433594
19+1/4	24.903646
19+3/8	25.0794275
20+0/1	25.523438
20+1/16	25.710938
20+1/8	25.777994999999997
20+3/16	25.973958
20+1/4	25.981771
20+3/8	26.410156
20+7/16	26.514323
21+0/1	26.6126305
21+1/32	26.710938
21+1/8	26.893228999999998
21+1/4	27.394531
21+5/16	27.546875
21+3/8	27.6152345
21+7/16	27.824219
22+0/1	27.963542
22+1/8	28.1484375
22+1/4	28.623698
22+3/8	28.8190105
22+15/32	29.21224
23+0/1	29.286458
23+1/8	29.498047
23+7/32	29.75651
23+1/4	29.85026
